GradeYear,Grade,Boat,Swim,Boat_Dry,Swim_Dry,Boat_Wet,Swim_Wet
2014,B+,91,65,100,86,86,53
2013,A-,96,70,97,84,95,63
2012,B+,87,67,99,93,81,53
2011,B,82,54,96,89,74,35
2010,B+,86,66,94,86,82,54
2009,B+,93,62,92,69,94,58
2008,B+,95,48,91,58,92,42
2007,B++,100,63,100,84,100,50
2006,B+,90,62,100,80,84,51
